"","gene_identifier","gene_symbol"
"1","Gene_1","marker_1_1"
"2","Gene_2","marker_1_2"
"3","Gene_3","marker_1_3"
"4","Gene_4","marker_1_4"
"5","Gene_5","marker_1_5"
"6","Gene_6","marker_1_6"
"7","Gene_7","marker_1_7"
"8","Gene_8","marker_1_8"
"9","Gene_9","marker_2_9"
"10","Gene_10","marker_2_10"
"11","Gene_11","marker_2_11"
"12","Gene_12","marker_2_12"
"13","Gene_13","marker_2_13"
"14","Gene_14","marker_2_14"
"15","Gene_15","marker_2_15"
"16","Gene_16","marker_2_16"
"17","Gene_17","marker_3_17"
"18","Gene_18","marker_3_18"
"19","Gene_19","marker_3_19"
"20","Gene_20","marker_3_20"
"21","Gene_21","marker_3_21"
"22","Gene_22","marker_3_22"
"23","Gene_23","marker_3_23"
"24","Gene_24","marker_3_24"
"25","Gene_25","marker_4_25"
"26","Gene_26","marker_4_26"
"27","Gene_27","marker_4_27"
"28","Gene_28","marker_4_28"
"29","Gene_29","marker_4_29"
"30","Gene_30","marker_4_30"
"31","Gene_31","marker_4_31"
"32","Gene_32","marker_4_32"
"33","Gene_33","marker_5_33"
"34","Gene_34","marker_5_34"
"35","Gene_35","marker_5_35"
"36","Gene_36","marker_5_36"
"37","Gene_37","marker_5_37"
"38","Gene_38","marker_5_38"
"39","Gene_39","marker_5_39"
"40","Gene_40","marker_5_40"
"41","Gene_41","DE_12_41"
"42","Gene_42","DE_12_42"
"43","Gene_43","DE_12_43"
"44","Gene_44","DE_12_44"
"45","Gene_45","DE_12_45"
"46","Gene_46","DE_12_46"
"47","Gene_47","DE_12_47"
"48","Gene_48","DE_12_48"
"49","Gene_49","DE_12_49"
"50","Gene_50","DE_12_50"
"51","Gene_51","DE_23_51"
"52","Gene_52","DE_23_52"
"53","Gene_53","DE_23_53"
"54","Gene_54","DE_23_54"
"55","Gene_55","DE_23_55"
"56","Gene_56","DE_23_56"
"57","Gene_57","DE_23_57"
"58","Gene_58","DE_23_58"
"59","Gene_59","DE_23_59"
"60","Gene_60","DE_23_60"
"61","Gene_61","DE_34_61"
"62","Gene_62","DE_34_62"
"63","Gene_63","DE_34_63"
"64","Gene_64","DE_34_64"
"65","Gene_65","DE_34_65"
"66","Gene_66","DE_34_66"
"67","Gene_67","DE_34_67"
"68","Gene_68","DE_34_68"
"69","Gene_69","DE_34_69"
"70","Gene_70","DE_34_70"
"71","Gene_71","DE_45_71"
"72","Gene_72","DE_45_72"
"73","Gene_73","DE_45_73"
"74","Gene_74","DE_45_74"
"75","Gene_75","DE_45_75"
"76","Gene_76","DE_45_76"
"77","Gene_77","DE_45_77"
"78","Gene_78","DE_45_78"
"79","Gene_79","DE_45_79"
"80","Gene_80","DE_45_80"
"81","Gene_81","HK_81"
"82","Gene_82","HK_82"
"83","Gene_83","HK_83"
"84","Gene_84","HK_84"
"85","Gene_85","HK_85"
"86","Gene_86","HK_86"
"87","Gene_87","HK_87"
"88","Gene_88","HK_88"
"89","Gene_89","HK_89"
"90","Gene_90","HK_90"
"91","Gene_91","HK_91"
"92","Gene_92","HK_92"
"93","Gene_93","HK_93"
"94","Gene_94","HK_94"
"95","Gene_95","HK_95"
"96","Gene_96","HK_96"
"97","Gene_97","HK_97"
"98","Gene_98","HK_98"
"99","Gene_99","HK_99"
"100","Gene_100","HK_100"
